name,train_mrr,val_mrr,mrr,hit@1,val_hit@1,recall@10,val_recall@10,ndcg@5
"bm25+expand[k100,sum,h2,a0.5]",0.4062,0.3401,0.3798,0.225,0.1875,0.65,0.625,0.3648
"bm25+expand[k100,sum,h2,a0.8]",0.353,0.3378,0.3469,0.2,0.1875,0.65,0.625,0.3611
"bm25+expand[k100,sum,h2,a1.2]",0.3256,0.2737,0.3048,0.15,0.125,0.625,0.5625,0.324
"bm25+expand[k100,sum,h2,a2.0]",0.2762,0.201,0.2461,0.1,0.0625,0.6,0.625,0.2731
"bm25+expand[k100,mean,h1,a0.02]",0.358,0.3157,0.3411,0.2,0.1875,0.6,0.5625,0.3092
"bm25+expand[k100,mean,h1,a0.05]",0.3658,0.3189,0.3471,0.2,0.1875,0.625,0.5625,0.3128
"bm25+expand[k100,mean,h1,a0.1]",0.3961,0.3204,0.3658,0.225,0.1875,0.625,0.5625,0.3329
"bm25+expand[k100,mean,h1,a0.2]",0.4143,0.3221,0.3774,0.25,0.1875,0.625,0.5625,0.3535
"bm25+expand[k100,mean,h1,a0.3]",0.4287,0.27,0.3652,0.225,0.125,0.625,0.5625,0.3485
"bm25+expand[k100,mean,h1,a0.5]",0.4741,0.1975,0.3634,0.25,0.0625,0.625,0.5625,0.3316
"bm25+expand[k100,mean,h1,a0.8]",0.4086,0.1841,0.3188,0.225,0.125,0.525,0.375,0.2716
"bm25+expand[k100,mean,h1,a1.2]",0.2967,0.1355,0.2322,0.1,0.0625,0.45,0.1875,0.2211
"bm25+expand[k100,mean,h1,a2.0]",0.1977,0.108,0.1618,0.05,0.0625,0.4,0.1875,0.1617
"bm25+expand[k100,mean,h2,a0.02]",0.3511,0.3157,0.337,0.2,0.1875,0.6,0.5625,0.3071
"bm25+expand[k100,mean,h2,a0.05]",0.3588,0.317,0.3421,0.2,0.1875,0.625,0.5625,0.3059
"bm25+expand[k100,mean,h2,a0.1]",0.3614,0.3172,0.3438,0.2,0.1875,0.625,0.5625,0.3169
"bm25+expand[k100,mean,h2,a0.2]",0.3899,0.3196,0.3618,0.225,0.1875,0.625,0.5625,0.3497
"bm25+expand[k100,mean,h2,a0.3]",0.4249,0.3142,0.3806,0.25,0.1875,0.625,0.5625,0.3486
"bm25+expand[k100,mean,h2,a0.5]",0.4408,0.2465,0.363,0.25,0.125,0.6,0.5,0.335
"bm25+expand[k100,mean,h2,a0.8]",0.4132,0.1758,0.3183,0.2,0.0625,0.55,0.375,0.2984
"bm25+expand[k100,mean,h2,a1.2]",0.3374,0.1878,0.2776,0.175,0.125,0.55,0.375,0.2679
"bm25+expand[k100,mean,h2,a2.0]",0.3217,0.1672,0.2599,0.175,0.125,0.525,0.3125,0.2153
"bm25+expand[k100,sym,h1,a0.02]",0.3583,0.3157,0.3413,0.2,0.1875,0.6,0.5625,0.3092
"bm25+expand[k100,sym,h1,a0.05]",0.3744,0.3212,0.3531,0.2,0.1875,0.625,0.5625,0.3226
"bm25+expand[k100,sym,h1,a0.1]",0.3999,0.3223,0.3688,0.225,0.1875,0.625,0.5625,0.3342
