name,train_mrr,val_mrr,mrr,hit@1,val_hit@1,recall@10,val_recall@10,ndcg@5
"rrf+expand_sel[k10,sum,h2,a2.0]",0.3526,0.3106,0.3358,0.175,0.1875,0.65,0.5625,0.3719
"rrf+expand_sel[k10,mean,h1,a0.05]",0.4706,0.4198,0.4503,0.3,0.3125,0.75,0.6875,0.3965
"rrf+expand_sel[k10,mean,h1,a0.1]",0.434,0.4041,0.422,0.275,0.3125,0.775,0.6875,0.3835
"rrf+expand_sel[k10,mean,h1,a0.2]",0.3674,0.401,0.3808,0.225,0.3125,0.775,0.6875,0.3556
"rrf+expand_sel[k10,mean,h1,a0.3]",0.3656,0.4013,0.3799,0.225,0.3125,0.725,0.6875,0.3489
"rrf+expand_sel[k10,mean,h1,a0.5]",0.2953,0.3698,0.3251,0.15,0.25,0.725,0.6875,0.3242
"rrf+expand_sel[k10,mean,h1,a0.8]",0.2519,0.2491,0.2508,0.1,0.125,0.675,0.5625,0.2448
"rrf+expand_sel[k10,mean,h1,a1.2]",0.2092,0.1777,0.1966,0.075,0.0625,0.625,0.5625,0.1867
"rrf+expand_sel[k10,mean,h1,a2.0]",0.1266,0.0929,0.1131,0.0,0.0,0.35,0.25,0.1128
"rrf+expand_sel[k10,mean,h2,a0.05]",0.4755,0.4155,0.4515,0.3,0.3125,0.775,0.6875,0.4077
"rrf+expand_sel[k10,mean,h2,a0.1]",0.486,0.4124,0.4566,0.325,0.3125,0.775,0.6875,0.4264
"rrf+expand_sel[k10,mean,h2,a0.2]",0.4664,0.3842,0.4335,0.3,0.25,0.75,0.6875,0.4123
"rrf+expand_sel[k10,mean,h2,a0.3]",0.4223,0.4088,0.4169,0.25,0.25,0.75,0.75,0.4246
"rrf+expand_sel[k10,mean,h2,a0.5]",0.4055,0.4029,0.4044,0.25,0.25,0.75,0.6875,0.3954
"rrf+expand_sel[k10,mean,h2,a0.8]",0.3701,0.3711,0.3705,0.2,0.1875,0.75,0.6875,0.3856
"rrf+expand_sel[k10,mean,h2,a1.2]",0.3332,0.3351,0.334,0.175,0.1875,0.725,0.625,0.3527
"rrf+expand_sel[k10,mean,h2,a2.0]",0.2537,0.2617,0.2569,0.1,0.125,0.675,0.625,0.2811
"rrf+expand_sel[k10,sym,h1,a0.05]",0.4797,0.4217,0.4565,0.3,0.3125,0.75,0.6875,0.4001
"rrf+expand_sel[k10,sym,h1,a0.1]",0.4712,0.4053,0.4448,0.3,0.3125,0.775,0.6875,0.3971
"rrf+expand_sel[k10,sym,h1,a0.2]",0.426,0.4045,0.4174,0.275,0.3125,0.725,0.6875,0.3823
"rrf+expand_sel[k10,sym,h1,a0.3]",0.4203,0.4087,0.4157,0.275,0.3125,0.7,0.6875,0.3968
"rrf+expand_sel[k10,sym,h1,a0.5]",0.3292,0.3747,0.3474,0.175,0.25,0.725,0.6875,0.357
"rrf+expand_sel[k10,sym,h1,a0.8]",0.2687,0.3642,0.3069,0.15,0.25,0.7,0.625,0.3188
"rrf+expand_sel[k10,sym,h1,a1.2]",0.2425,0.2673,0.2525,0.1,0.125,0.65,0.5625,0.2589
"rrf+expand_sel[k10,sym,h1,a2.0]",0.1715,0.1655,0.1691,0.05,0.0625,0.5,0.375,0.169
"rrf+expand_sel[k10,sym,h2,a0.05]",0.4802,0.4181,0.4554,0.3,0.3125,0.75,0.75,0.4202
